Geography,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.., not available for a specific reference period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A, data quality: excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B, data quality: very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"This table contains long-run estimates of economic variables for the provinces and territories. The data are assembled in a fashion that facilitates examinations of economic performance over extended time horizons. Estimates contained in the dataset relate to prices, income and population. The data were originally compiled for the following research paper: M. Brown and R. Macdonald, 2015, Provincial Convergence and Divergence in Canada, 1926 to 2011, Statistics Canada Catalogue no. 11F0027M, Ottawa, Ontario, Economic Analysis Research Paper Series, no. 096.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"For additional discussion on data construction and data sources, see R. Macdonald, 2015, Constructing Provincial Time Series: A Discussion of Data Sources and Methods, Statistics Canada Catalogue no. 13-604-M, Ottawa, Ontario, Income and Expenditure Accounts Technical Series , no. 077 and R. Macdonald, 2018, Data Sources and Linking Methods for Long-run Provincial and Territorial Data: An Update for Gross Domestic Product, Urbanization, Unemployment and Depreciation, Statistics Canada Catalogue no. 11-633-X, Ottawa, Ontario, Analytical Studies Methods and References Series, no. 2018018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Data source indicators: A - Currently produced data; B - Historical data linked to current data; C - Historical estimates constructed using an instrumental variables technique.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Data for the territories are not presented separately in historical data sources. Consequently, aggregations of Yukon, the Northwest Territories and Nunavut or of the Northwest Territories including Nunavut are presented to extend the data available for these units. For additional discussion on data construction and data sources, see R. Macdonald, 2015, Constructing Provincial Time Series: A Discussion of Data Sources and Methods, Statistics Canada Catalogue no. 13-604-M, Ottawa, Ontario, Income and Expenditure Accounts Technical Series , no. 077 and R. Macdonald, 2018, Data Sources and Linking Methods for Long-run Provincial and Territorial Data: An Update for Gross Domestic Product, Urbanization, Unemployment and Depreciation, Statistics Canada Catalogue no. 11-633-X, Ottawa, Ontario, Analytical Studies Methods and References Series, no. 2018018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Sigma is the standard deviation of the observations. It is calculated for two groups of provinces. The first group consists of all 10 provinces. For years before 1949, Newfoundland and Labrador is not present. The second group consists of all provinces except for Alberta, Saskatchewan and, after 1996, Newfoundland and Labrador. These provinces are excluded because their behaviour is associated with the convergence-divergence dynamic across provinces. For more information, see M. Brown and R. Macdonald, 2015, Provincial Convergence and Divergence in Canada, 1926 to 2011, Statistics Canada Catalogue no. 11F0027M, Ottawa, Ontario, Economic Analysis Research Paper Series, no. 096.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to cite: Statistics Canada. Table 36-10-0229-01  Long-run provincial and territorial data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610022901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
